
Perfil A

Encinasola  (EN)  29 S 680268 4220005 386  Shot time UTC +/- 2003:260:14:02:01.650  Sept 17:16:02
El Mustio   (MU)  29 S 670215 4188832 502  Shot time UTC +/- 2003:260:16:06:01.140  Sept 17:18:06
Villablanca (VI)  29 S 647330 4125195  39  Shot time UTC +/- 2003:260:18:07:01.350  Sept 17:20:07

Perfil B

MonteRubio  (MR0) 30 S 284312 4272036 670  Shot time UTC +/- 2003:266:18:05.00.355  Sept 23:18:05
Maguilla    (MA0) 30 S 247667 4247866 533  Shot time UTC +/- 2003:266:20:02.01.350  Sept 23:22:02
Rio Tinto   (RT0) 29 S 713258 4175619 368  Shot time UTC +/- 2003:267:16:01:01.840  Sept 24:18:01
Minas Cala  (CA0) 29 S 733391 4203249 588  Shot time UTC +/- 2003:267:18:01:01.100  Sept 24:20:01
Niebla      (NI0) 29 S 702326 4148285 166  Shot time UTC +/- 2003:267:13:31:01.855  Sept 24:15:31

Perfil C

Garlitos    (GA1) 30 S 322856 4303817 556  Shot time UTC +/- 2003:269:18:38:01.265  Sept 26:20:38
Garlitos    (GA2) 30 S 322938 4303893 547  Shot time UTC +/- 2003:269:19:31:00.615  Sept 26:21:31
Monterubio  (MR1) 30 S 284294 4272117 668  Shot time UTC +/- 2003:269:21:03:00:915  Sept 26:23:03
Maguilla    (MA1) 30 S 247623 4247979 529  Shot time UTC +/- 2003:269:22:32:00:495  Sept 26:24:32
Minas Cala  (CA1) 29 S 733343 4203262 580  Shot time UTC +/- 2003:270:13:33:00.430  Sept 27:15:33
Rio Tinto   (RT1) 29 S 713334 4175665 366  Shot time UTC +/- 2003:270:16:01:00.890  Sept 27:18:01
Niebla      (NI1) 29 S 702258 4148289 156  Shot time UTC +/- 2003:270:17:31:00.515  Sept 27:19:31

1579  4294113  796366  446
1580  4294239  796804  437
1581  4294295  797087  440
1582  4294264  797516  441
1583  4294246  798211  431
1584  4294489  798686  395
1585  4294613  799156  380
1586  4294695  799550  387
1587  4294682  799901  375
1588  4295065  800404  363
1589  4295400  801020  357
1590  4295262  801334  360
1591  4295354  801832  349
1592  4295436  802176  347
1593  4295568  802560  362
1595  4295934  803415  354
1596  4296373  803873  335
1597  4296668  804000  318
1598  4297031  804149  318
1599  4297320  804199  324
1600  4297422  804505  331
1601  4297342  804843  336
1602  4297219  805191  338
1603  4296989  805439  339
1604  4296778  805697  332
1605  4296535  805993  353
1606  4296260  806287  350
1607  4295867  806595  339
1608  4296510  806834  344
1609  4296911  807228  357
1610  4297148  807557  353
1612  4298366  807696  399
1613  4298707  808021  419
1614  4299101  808414  420
1615  4299166  808718  419
1616  4299083  809129  419
1617  4298874  809541  413
1618  4298498  809897  417
1619  4298141  810325  423
1620  4297983  810667  438
1621  4297653  811165  452
1622  4297331  811658  447
1623  4297167  811989  446
1624  4296886  812431  449
1625  4296359  813180  443
1626  4295912  814020  462
1627  4295499  814317  467
1629  4295797  815235  461
1630  4295989  815790  473
1631  4296080  816422  458
1632  4296419  817007  443
1633  4296567  817629  438
1634  4296954  817872  437
1635  4297353  818165  432
1636  4297653  818518  443
1637  4298064  818825  447
1638  4298708  819221  436
1639  4299017  819864  450
1640  4299582  820071  462
1641  4300012  820440  483
1642  4300423  820973  473
1643  4300903  821419  475
1644  4301207  822024  457
1645  4301139  822518  443
1646  4300724  822952  456
1647  4300491  823475  434
1648  4300421  823857  470
1650  4300045  825225  489
1651  4299849  825833  490
1652  4299697  826499  488
1653  4299622  826953  471
1654  4299481  827638  488
1655  4299540  828250  515
1656  4299607  828903  503
1657  4299504  829592  488
